"","X","X600435.SS.Open","X600435.SS.High","X600435.SS.Low","X600435.SS.Close","X600435.SS.Volume","X600435.SS.Adjusted","X600435.SS.Close.1","X600436.SS.Open","X600436.SS.High","X600436.SS.Low","X600436.SS.Close","X600436.SS.Volume","X600436.SS.Adjusted","X600436.SS.Close.1","X600438.SS.Open","X600438.SS.High","X600438.SS.Low","X600438.SS.Close","X600438.SS.Volume","X600438.SS.Adjusted","X600438.SS.Close.1","X600439.SS.Open","X600439.SS.High","X600439.SS.Low","X600439.SS.Close","X600439.SS.Volume","X600439.SS.Adjusted","X600439.SS.Close.1","X600444.SS.Open","X600444.SS.High","X600444.SS.Low","X600444.SS.Close","X600444.SS.Volume","X600444.SS.Adjusted","X600444.SS.Close.1","X600446.SS.Open","X600446.SS.High","X600446.SS.Low","X600446.SS.Close","X600446.SS.Volume","X600446.SS.Adjusted","X600446.SS.Close.1","X600448.SS.Open","X600448.SS.High","X600448.SS.Low","X600448.SS.Close","X600448.SS.Volume","X600448.SS.Adjusted","X600448.SS.Close.1","X600449.SS.Open","X600449.SS.High","X600449.SS.Low","X600449.SS.Close","X600449.SS.Volume","X600449.SS.Adjusted","X600449.SS.Close.1","X600452.SS.Open","X600452.SS.High","X600452.SS.Low","X600452.SS.Close","X600452.SS.Volume","X600452.SS.Adjusted","X600452.SS.Close.1","X600456.SS.Open","X600456.SS.High","X600456.SS.Low","X600456.SS.Close","X600456.SS.Volume","X600456.SS.Adjusted","X600456.SS.Close.1","X600458.SS.Open","X600458.SS.High","X600458.SS.Low","X600458.SS.Close","X600458.SS.Volume","X600458.SS.Adjusted","X600458.SS.Close.1","X600459.SS.Open","X600459.SS.High","X600459.SS.Low","X600459.SS.Close","X600459.SS.Volume","X600459.SS.Adjusted","X600459.SS.Close.1","X600460.SS.Open","X600460.SS.High","X600460.SS.Low","X600460.SS.Close","X600460.SS.Volume","X600460.SS.Adjusted","X600460.SS.Close.1","X600461.SS.Open","X600461.SS.High","X600461.SS.Low","X600461.SS.Close","X600461.SS.Volume","X600461.SS.Adjusted","X600461.SS.Close.1","X600462.SS.Open","X600462.SS.High","X600462.SS.Low","X600462.SS.Close","X600462.SS.Volume","X600462.SS.Adjusted","X600462.SS.Close.1","X600463.SS.Open","X600463.SS.High","X600463.SS.Low","X600463.SS.Close","X600463.SS.Volume","X600463.SS.Adjusted","X600463.SS.Close.1","X600466.SS.Open","X600466.SS.High","X600466.SS.Low","X600466.SS.Close","X600466.SS.Volume","X600466.SS.Adjusted","X600466.SS.Close.1","X600468.SS.Open","X600468.SS.High","X600468.SS.Low","X600468.SS.Close","X600468.SS.Volume","X600468.SS.Adjusted","X600467.SS.Open","X600467.SS.High","X600467.SS.Low","X600467.SS.Close","X600467.SS.Volume","X600467.SS.Adjusted","X600467.SS.Close.1","X600468.SS.Close.1","X600469.SS.Open","X600469.SS.High","X600469.SS.Low","X600469.SS.Close","X600469.SS.Volume","X600469.SS.Adjusted","X600469.SS.Close.1","X600470.SS.Open","X600470.SS.High","X600470.SS.Low","X600470.SS.Close","X600470.SS.Volume","X600470.SS.Adjusted","X600470.SS.Close.1","X600475.SS.Open","X600475.SS.High","X600475.SS.Low","X600475.SS.Close","X600475.SS.Volume","X600475.SS.Adjusted","X600475.SS.Close.1","X600476.SS.Open","X600476.SS.High","X600476.SS.Low","X600476.SS.Close","X600476.SS.Volume","X600476.SS.Adjusted","X600476.SS.Close.1","X600477.SS.Open","X600477.SS.High","X600477.SS.Low","X600477.SS.Close","X600477.SS.Volume","X600477.SS.Adjusted","X600477.SS.Close.1"
"1",2018-03-06,10.3,10.41,10.24,10.36,13470181,10.33224,0.00682644709669589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.85,12.12,11.63,12.11,11510815,10.960602,0.00117603321834603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8744,14.126,13.7737,14.0613,5354306,13.81948,-0.0118077810175851,16.049999,16.690001,15.81,15.93,112243602,15.838402,-0.0304031458207752,NA,NA,NA,NA,NA,NA,NA,4.29,4.31,4.25,4.26,3782200,4.26,-0.00466745092913323,10.56,10.9,10.54,10.85,2185434,10.811337,0.00876316784259978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2018-03-07,10.36,10.37,10.1,10.11,12703879,10.08291,-0.0173048270345783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04,12.09,11.89,11.9,7270768,10.770534,-0.0161650072440817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.975,14.0613,13.7881,13.8888,3888089,13.649945,-0.024075494529138,15.8,17.34,15.71,16.92,193454722,16.82271,0.0317437468345922,NA,NA,NA,NA,NA,NA,NA,4.26,4.27,4.16,4.19,6533580,4.19,-0.0210993758117622,11,11,10.7,10.73,1827400,10.691763,-0.00229673999150148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2018-03-08,10.03,10.22,10.03,10.17,9317244,10.142749,-0.0113701089336881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.86,12.03,11.75,12.02,7129432,10.879146,-0.00608097363063631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.43,8.5,8.34,8.47,2945348,8.344488,0.0206594775031618,13.7737,14.0541,13.7737,13.8744,3088276,13.635794,-0.0251123011647005,16.620001,16.879999,16.41,16.75,102312637,16.653687,0.021696465510715,NA,NA,NA,NA,NA,NA,NA,4.2,4.26,4.17,4.2,8222205,4.2,-0.0187127409668936,10.71,11.15,10.61,11.09,4618103,11.050481,0.0312540521799802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2018-03-09,10.22,10.47,10.15,10.39,18520111,10.36216,0.0102621427870594,NA,NA,NA,NA,NA,NA,NA,10.16,10.48,10.11,10.38,27369910,10.233957,-0.00968986760327528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.07,12.09,11.86,12.04,7441518,10.897247,-0.004417080119821,16.989799,17.6122,16.801001,17.4949,2061643,17.203846,0.0523774061398867,NA,NA,NA,NA,NA,NA,NA,8.47,8.71,8.47,8.6,4988422,8.472562,0.0360077655787224,13.8025,14.0038,13.8025,13.975,4263133,13.734664,-0.0178615371676989,16.700001,17.34,16.700001,16.83,123853968,16.733227,0.0264725849137,NA,NA,NA,NA,NA,NA,NA,4.19,4.27,4.19,4.26,4482987,4.26,-0.00442702668117934,11.01,11.13,10.99,11.09,3348581,11.050481,0.0312540521799802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2018-03-12,10.48,10.7,10.36,10.61,22996035,10.58157,0.0314363487543355,NA,NA,NA,NA,NA,NA,NA,10.38,10.95,10.38,10.63,34810067,10.48044,0.0143949108167634,6.1,6.17,6.03,6.12,33984794,5.97232,0.0262211740095957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2018-03-12,10.48,10.7,10.36,10.61,22996035,10.58157,0.0314363487543355,NA,NA,NA,NA,NA,NA,NA,10.38,10.95,10.38,10.63,34810067,10.48044,0.0143949108167634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.05,12.43,12.05,12.42,14681942,11.241179,0.0271443816741991,17.6429,17.653099,17.25,17.5306,1033566,17.238953,0.0544180008274813,NA,NA,NA,NA,NA,NA,NA,8.62,8.77,8.57,8.63,3972526,8.502117,0.0394961376717459,14.0325,14.3417,14.0038,14.2841,7369815,14.038447,0.00425653081083421,16.91,17.32,16.68,17.24,124597506,17.140869,0.0508338445690772,NA,NA,NA,NA,NA,NA,NA,4.34,4.44,4.3,4.4,8537460,4.4,0.0284368230840789,11.07,11.22,11.01,11.16,2486299,11.120232,0.0375660449662742,7.58571,7.61428,7.21428,7.32857,60232561,6.962125,0.0485920855584945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2018-03-13,10.58,10.6,10.33,10.35,15482793,10.322268,0.00693116496545709,NA,NA,NA,NA,NA,NA,NA,10.61,10.9,10.44,10.47,21743890,10.322691,-0.000656829540715442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,12.57,12.32,12.51,13457362,11.322637,0.0343907584857933,17.5,17.5,17.301001,17.3265,688402,17.038248,0.0427755014264339,NA,NA,NA,NA,NA,NA,NA,8.69,8.73,8.61,8.63,3520700,8.502117,0.0394961376717459,14.2338,14.8449,14.0972,14.7298,12985165,14.476483,0.0354590566962592,17.1,17.290001,16.68,16.700001,97175863,16.603973,0.0195113967732536,6.26,6.26,6.2,6.2,1522900,6.032963,-0.0029980364490324,4.39,4.41,4.34,4.4,5714121,4.4,0.0284368230840789,11.18,11.38,11.03,11.34,3883881,11.29959,0.0536950772243387,7.27857,7.36428,7.2,7.21428,28206544,6.85355,0.0329969558128551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28,5.73,5.22,5.46,13212728,5.383136,0.025862832402489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2018-03-13,10.58,10.6,10.33,10.35,15482793,10.322268,0.00693116496545709,NA,NA,NA,NA,NA,NA,NA,10.61,10.9,10.44,10.47,21743890,10.322691,-0.000656829540715442,6.08,6.1,5.95,5.96,25452466,5.81618,7.73831599224506e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2018-03-14,10.38,10.39,10.15,10.17,11423261,10.142749,-0.010460139382369,NA,NA,NA,NA,NA,NA,NA,10.39,10.52,10.29,10.42,16845662,10.273395,-0.00543237872887214,5.96,6.18,5.93,6.14,36384489,5.991837,0.0302787254418017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2018-03-14,10.38,10.39,10.15,10.17,11423261,10.142749,-0.010460139382369,NA,NA,NA,NA,NA,NA,NA,10.39,10.52,10.29,10.42,16845662,10.273395,-0.00543237872887214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.52,12.95,12.34,12.81,22711871,11.594164,0.0583715738335152,17.316299,17.398001,17.1224,17.1224,945580,16.837545,0.0309958575283588,NA,NA,NA,NA,NA,NA,NA,8.62,8.68,8.41,8.44,3393400,8.314932,0.0174799151920239,14.5429,14.658,14.2482,14.3704,9503873,14.123264,0.0110595400701,16.559999,16.790001,15.92,16.030001,106537871,15.937827,-0.0206083613034077,6.2,6.2,6.14,6.15,1533321,5.984311,-0.0110625525780647,4.36,4.67,4.35,4.54,10372400,4.54,0.0602550049022607,10.96,10.99,10.59,10.7,5812239,10.66187,-0.00274231254638435,7.14286,7.37143,7.13571,7.24286,26496184,6.880701,0.0369585431091619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48,5.48,5.28,5.34,5507930,5.264825,0.00388481042446698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2018-03-15,10.13,10.48,10.13,10.31,17956188,10.282374,0.00330583898537939,NA,NA,NA,NA,NA,NA,NA,10.42,10.42,10.1,10.23,19050176,10.086067,-0.0236665437960506,6.09,6.16,6.02,6.05,15233592,5.904009,0.0156207449857756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2018-03-15,10.13,10.48,10.13,10.31,17956188,10.282374,0.00330583898537939,NA,NA,NA,NA,NA,NA,NA,10.42,10.42,10.1,10.23,19050176,10.086067,-0.0236665437960506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.73,12.85,12.51,12.63,13693758,11.431248,0.0443200515852716,17.1429,17.398001,16.8929,16.9133,1038484,16.631922,0.0187837844544907,NA,NA,NA,NA,NA,NA,NA,8.42,8.58,8.4,8.51,3283720,8.383896,0.0257737540545832,14.241,14.6148,14.1188,14.3273,7466328,14.080904,0.00806031944993624,16.120001,16.379999,15.88,16.290001,81224674,16.196333,-0.00438877404324456,6.14,6.16,6.1,6.14,2110435,5.97458,-0.0126885688382273,4.51,4.75,4.42,4.7,15468422,4.7,0.0954972956511594,10.55,10.57,10.11,10.26,3684656,10.223439,-0.0438638078734871,7.23571,7.30714,7.00714,7.03571,26327418,6.683909,0.00835796267546574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,5.38,5.25,5.3,4028900,5.225389,-0.00360582627965289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2018-03-16,10.26,10.38,10.14,10.18,10558304,10.152722,-0.00930327837640532,NA,NA,NA,NA,NA,NA,NA,10.16,10.28,10.04,10.05,16688930,9.908601,-0.0412618517139391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,12.86,12.55,12.57,10798232,11.376942,0.0395694577610436,16.8878,17.1429,16.734699,16.8571,578472,16.576658,0.0154609556747729,NA,NA,NA,NA,NA,NA,NA,8.54,8.62,8.45,8.45,2563893,8.324784,0.0187232252649239,14.3273,14.3345,14.0685,14.1044,3910349,13.861837,-0.00749739205188193,16.18,16.290001,15.78,16.01,67561982,15.917942,-0.0215772935528504,6.13,6.19,6.12,6.18,1281575,6.013502,-0.0061739108577713,4.7,4.7,4.7,4.7,0,4.7,0.0954972956511594,10.28,10.4,10.25,10.27,1649601,10.233403,-0.0428891490040914,7.02143,7.4,7.02143,7.34286,49136532,6.975701,0.0520138268313222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.35,5.48,5.3,5.34,4246900,5.264825,0.00394134353166786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2018-03-16,10.26,10.38,10.14,10.18,10558304,10.152722,-0.00930327837640532,NA,NA,NA,NA,NA,NA,NA,10.16,10.28,10.04,10.05,16688930,9.908601,-0.0412618517139391,6.05,6.1,5.98,6.03,13785321,5.884491,0.0123149598618087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2018-03-19,10.22,10.36,10.21,10.27,8943791,10.242482,-0.000462413936326733,NA,NA,NA,NA,NA,NA,NA,10.07,10.16,9.86,10.04,14121593,9.898741,-0.0422568765895612,6.01,6.01,5.81,5.83,14616764,5.689317,-0.0208525359922543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
